full_formula,task_id,formation_energy_per_atom
Al4Cd2Cl16,mp-28361,-1.837771469189091
Na12Au4O8,mp-28365,-1.3269490630833332
Rb4Cl4O16,mp-28433,-1.2041768681008047
Ba4H32O20,mp-28587,-1.6673239435864278
Ba4Cu6P8,mp-28661,-0.5930042126190477
Na4Te8O18,mp-28904,-1.6717271051833331
Dy2S2I2,mp-28929,-2.0433364146875
H16S4O20,mp-29095,-1.6209870387292498
Si6P4Pt2,mp-29157,-0.4103751548809515
Sr3Ni6P6,mp-29167,-0.7836961461904763
Te4O6F4,mp-29185,-1.8848701169471427
Nd4S6O24,mp-29265,-2.7607952571875
Sr32As24,mp-29424,-1.1365047116071432
Na4Sc4Cl16,mp-29432,-2.4092767720899997
Dy1Si2Au2,mp-2954,-0.5524809300000009
La12Si14Br6,mp-29560,-1.0914697871875
Co8Ge12Te12,mp-2994,-0.2178753315624995
Ba2Ge4Ru4,mp-30050,-0.47234824400000053
K16Ti12Te36,mp-30280,-0.8409245485625005
Dy3Bi3Rh3,mp-30307,-0.7474151305555563
Ti2Cd1,mp-30501,-0.06801572944444582
Na16Pb16,mp-30792,-0.17062933412500003
Lu2Ni1Sn6,mp-31136,-0.39674060999999955
Ce2Al20Ru4,mp-31364,-0.513404232307692
Ho2Al3Si2,mp-3328,-0.5433344385714288
Na6Al2F12,mp-3416,-3.4068835360639995
K4Au4S20,mp-3592,-0.8095797376160719
Lu1Rh1,mp-377,-1.0348493299999992
Mg2Ti2O6,mp-3771,-3.3880553055833347
Sm2S2F2,mp-3931,-3.3855834692508338
Er1Si2Os2,mp-3958,-0.7219406309999996
Cs2K1Zr1O1F5,mp-40143,-3.4014928480113795
Tm4Cd2S8,mp-4324,-2.058167417321429
Ag4C2O6,mp-4691,-1.1097771955555558
Pr1Si2Rh2,mp-4815,-1.078046898999999
La1Si2Pd2,mp-4954,-0.9411584995000005
Ti6Co10B4,mp-504617,-0.5535023608333347
Rb6Re6Cl24,mp-504957,-1.4991063743141382
Eu4Sn4O14,mp-505306,-2.688601584659092
Cs4Na12Pb4O16,mp-505396,-1.6084995199674335
Cs2Sm2Zn2Se6,mp-505709,-1.4103181215813578
Li24Pt12O36,mp-531826,-1.6965169934027782
Rb2Fe2S4,mp-5372,-1.0801375246174576
Sc2Fe4,mp-540,-0.27633190333333363
Ca4Cr8O16,mp-540582,-2.696229998214285
Nd4Tl4P16O48,mp-540742,-2.8218634147817463
Hg28Cl8O12,mp-541193,-0.6175397693975002
Tl4Cu4P4O16,mp-541201,-1.9321039063775507
Al6B4Ru8,mp-541849,-0.595599984259259
As16S16,mp-542810,-0.47129136703125063
V4Cu4O14,mp-542860,-1.8184612823863633
Nd1Bi2I1O4,mp-549333,-2.2442638878125
Sr2Bi2Br2O4,mp-552234,-2.2446908255
Hg12P4O16,mp-554914,-1.5309636687053567
K4V4S8O36,mp-555364,-2.1919348821057696
K12Sc4Mo12O48,mp-555776,-2.4818349002105258
Li8Pr4N20O60,mp-555979,-1.5329036995934775
Cs8K8Te4O20,mp-556400,-1.80409642121638
Sr4V6Bi2O22,mp-556533,-2.6651696853676468
Cs2Sb4F14,mp-556583,-2.8284784119536894
Tl16Os8C8Br16O8F24,mp-556622,-1.427023833607
Er4Mo4O16F4,mp-556766,-3.0701639808842853
K2Mn1F4,mp-557610,-3.016851355959999
K20Li8Nd4F40,mp-557798,-3.3546691103833335
K24Ti8S24O4,mp-558062,-1.8437312111305555
Dy16Te24O72,mp-558224,-2.4938495033035717
Ca12W4Cl8O20,mp-558558,-2.9301035652518177
Eu8B20Br4O36,mp-558834,-2.977590623799019
Sr8B28O50,mp-559330,-3.0655284957461237
Rb6Mo24P2O80,mp-560115,-2.164855911753167
Ce2Ag12N18O54,mp-560230,-1.0237403599458141
Ba6Zn10In4O22,mp-560544,-2.196970721805555
Na2Au2S4O16,mp-561190,-1.7772810677187494
Cs2Te4O12,mp-561786,-1.6673286631896558
Cu18P24S24I18,mp-565597,-0.4080484846301025
Rb4Te2W6O24,mp-567014,-2.1544970942049813
Ce8W4C8,mp-567492,-0.275917656499999
Sr16C4N16,mp-567601,-0.8573133945299998
Er3Cu4Ge4,mp-567621,-0.6223759368181816
Sm2Co18Si8,mp-567852,-0.4814438548214294
Sm3Hg3Pd3,mp-567912,-0.7041678863888888
Dy10In6,mp-568144,-0.38533260624999954
Sr2Lu2Cu2Se6,mp-568191,-1.5332884492968752
Tb16Cd4Rh4,mp-568366,-0.49101964583333313
Ti8Br32,mp-569814,-1.2357978355833332
Mg42Zn50,mp-570025,-0.12031423956521729
Mg6Si7Ni16,mp-570457,-0.5453123491379321
Tc8Br32,mp-570480,-0.4044036197499999
Ba4Al8Ge8,mp-570482,-0.3947403385000001
Sc1Bi1,mp-570632,-0.6554864999999994
Pr6Os2I6,mp-570779,-0.963183029285714
K20Ag8As12Se36,mp-570836,-0.634993207667215
Pr6Co1Br10,mp-570965,-1.5851989070588237
Tl1I1,mp-571102,-0.6814063150000003
